year,year_type,state_name,state_code,category,variable_id,variable_name,value,unit,confidence,original_value,original_unit,notes
1976,FY,Tasmania,TAS,production,prod_milk_total,Total milk production,421.0,megalitres,high,421.0,ML,
1976,CY,Victoria,VIC,herd,herd_dairy_cattle,Dairy cattle numbers,1831000.0,head,high,1831000.0,head,
1976,FY,Victoria,VIC,herd,herd_dairy_cows,Dairy cow numbers,1166770.0,head,high,1166.77,'000,
1976,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,5868400.0,head,high,5868400.0,head,
1976,FY,Victoria,VIC,production,prod_milk_total,Total milk production,3203.0,megalitres,high,3203.0,ML,
1976,CY,Western Australia,WA,herd,herd_dairy_cattle,Dairy cattle numbers,164000.0,head,high,164000.0,head,
1976,FY,Western Australia,WA,herd,herd_dairy_cows,Dairy cow numbers,83518.0,head,high,83.518,'000,
1976,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,2654000.0,head,high,2654000.0,head,
1976,FY,Western Australia,WA,production,prod_milk_total,Total milk production,209.0,megalitres,high,209.0,ML,
1977,CY,Australian Capital Territory,ACT,herd,herd_total_cattle,Total cattle numbers,19000.0,head,high,19000.0,head,
1977,CY,Australia (National),AUS,herd,herd_dairy_cattle,Dairy cattle numbers,3265000.0,head,high,3265000.0,head,
1977,FY,Australia (National),AUS,herd,herd_dairy_cows,Dairy cow numbers,2056000.0,head,high,2056.0,head,
1977,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,31533000.0,head,high,31533000.0,head,
1977,FY,Australia (National),AUS,herd,herd_yield_per_cow,Yield per cow,2733.949,litres,high,2733.949,litres,
1977,FY,Australia (National),AUS,price,price_export_butter,Export butter price,127.98830000000001,cents_per_kg,high,1279.883,cents_per_kg,
1977,FY,Australia (National),AUS,price,price_export_cheese,Export cheese price,125.85029999999999,cents_per_kg,high,1258.503,cents_per_kg,
1977,FY,Australia (National),AUS,price,price_farmgate_avg,Average farmgate price,9.9,cents_per_litre,high,9.9,cents_per_litre,
1977,FY,Australia (National),AUS,price,price_farmgate_manufacturing,Farmgate price - manufacturing milk,7.294,cents_per_litre,high,7.294,cents_per_litre,
1977,FY,Australia (National),AUS,price,price_farmgate_market,Farmgate price - market milk,17.217,cents_per_litre,high,17.217,cents_per_litre,
1977,FY,Australia (National),AUS,production,prod_butter,Butter production,111721.0,tonnes,high,111.721,tonnes,
1977,FY,Australia (National),AUS,production,prod_cheese,Cheese production,116000.0,tonnes,high,116.0,tonnes,
1977,FY,Australia (National),AUS,production,prod_milk_total,Total milk production,5621.0,megalitres,high,5621.0,megalitres,
1977,CY,New South Wales,NSW,herd,herd_dairy_cattle,Dairy cattle numbers,549000.0,head,high,549000.0,head,
1977,FY,New South Wales,NSW,herd,herd_dairy_cows,Dairy cow numbers,341000.0,head,high,341.0,'000,
1977,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,8348500.0,head,high,8348500.0,head,
